Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print,100884,http://www.reparteegallery.com/images/variant/large/DP500369FB.jpg,0,Birth Of Jesus Frame B, REP133111,41628,DP500369FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100885,http://www.reparteegallery.com/images/variant/large/DP500369FC.jpg,0,Birth Of Jesus Frame C, REP133115,41628,DP500369FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100886,http://www.reparteegallery.com/images/variant/large/DP500369FD.jpg,0,Birth Of Jesus Frame D, REP133118,41628,DP500369FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100851,http://www.reparteegallery.com/images/variant/large/DP500621.jpg,1,Birth Of Jesus,,41629,DP500621,34.9500,12 X 18,
Giclee Print,100890,http://www.reparteegallery.com/images/variant/large/DP500621FD.jpg,0,Birth Of Jesus Frame D, REP133118,41629,DP500621FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100887,http://www.reparteegallery.com/images/variant/large/DP500621FA.jpg,0,Birth Of Jesus Frame A, REP133002,41629,DP500621FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100888,http://www.reparteegallery.com/images/variant/large/DP500621FB.jpg,0,Birth Of Jesus Frame B, REP133111,41629,DP500621FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100889,http://www.reparteegallery.com/images/variant/large/DP500621FC.jpg,0,Birth Of Jesus Frame C, REP133115,41629,DP500621FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100852,http://www.reparteegallery.com/images/variant/large/DP500774.jpg,1,Birth Of Jesus,,41630,DP500774,44.9500,14 X 21,
Giclee Print,100891,http://www.reparteegallery.com/images/variant/large/DP500774FA.jpg,0,Birth Of Jesus Frame A, REP140002,41630,DP500774FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100892,http://www.reparteegallery.com/images/variant/large/DP500774FB.jpg,0,Birth Of Jesus Frame B, REP140111,41630,DP500774FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100893,http://www.reparteegallery.com/images/variant/large/DP500774FC.jpg,0,Birth Of Jesus Frame C, REP140115,41630,DP500774FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100894,http://www.reparteegallery.com/images/variant/large/DP500774FD.jpg,0,Birth Of Jesus Frame D, REP140118,41630,DP500774FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100853,http://www.reparteegallery.com/images/variant/large/DP500922.jpg,1,Birth Of Jesus,,41631,DP500922,120.0000,20 X 30,
Giclee Print,100895,http://www.reparteegallery.com/images/variant/large/DP500922FA.jpg,0,Birth Of Jesus Frame A, REP131002,41631,DP500922FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,100896,http://www.reparteegallery.com/images/variant/large/DP500922FB.jpg,0,Birth Of Jesus Frame B, REP131111,41631,DP500922FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,100897,http://www.reparteegallery.com/images/variant/large/DP500922FC.jpg,0,Birth Of Jesus Frame C, REP131115,41631,DP500922FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,100898,http://www.reparteegallery.com/images/variant/large/DP500922FD.jpg,0,Birth Of Jesus Frame D, REP131118,41631,DP500922FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print on Plaque,100903,http://www.reparteegallery.com/images/variant/large/DP500149.jpg,1,Black Lamb,,41632,DP500149,49.9900,10 X 13,
Giclee Print,100904,http://www.reparteegallery.com/images/variant/large/DP500370.jpg,1,Black Lamb,,41634,DP500370,24.9500,11 X 14,
Giclee Print,100909,http://www.reparteegallery.com/images/variant/large/DP500370FA.jpg,0,Black Lamb Frame A, REP133002,41634,DP500370FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100910,http://www.reparteegallery.com/images/variant/large/DP500370FB.jpg,0,Black Lamb Frame B, REP133111,41634,DP500370FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100911,http://www.reparteegallery.com/images/variant/large/DP500370FC.jpg,0,Black Lamb Frame C, REP133115,41634,DP500370FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100912,http://www.reparteegallery.com/images/variant/large/DP500370FD.jpg,0,Black Lamb Frame D, REP133118,41634,DP500370FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100905,http://www.reparteegallery.com/images/variant/large/DP500622.jpg,1,Black Lamb,,41635,DP500622,34.9500,12 X 18,
